Year	Lon	Lat	M
   1.9817750e+03   1.0235000e+02   3.7630000e+01   2.5000000e+00
   1.9817755e+03   1.0617000e+02   3.6600000e+01   2.4000000e+00
   1.9817873e+03   1.0368000e+02   3.7120000e+01   3.1000000e+00
   1.9817935e+03   1.0523000e+02   3.5880000e+01   2.7000000e+00
   1.9817935e+03   1.0538000e+02   3.5930000e+01   3.3000000e+00
   1.9818019e+03   1.0275000e+02   3.7570000e+01   2.9000000e+00
   1.9818059e+03   1.0217000e+02   3.7870000e+01   2.1000000e+00
   1.9818119e+03   1.0693000e+02   3.8920000e+01   2.5000000e+00
   1.9818119e+03   1.0660000e+02   3.8820000e+01   3.2000000e+00
   1.9818157e+03   1.0510000e+02   3.5230000e+01   2.2000000e+00
   1.9818157e+03   1.0513000e+02   3.5250000e+01   1.5000000e+00
   1.9818186e+03   1.0240000e+02   3.7550000e+01   2.4000000e+00
   1.9818219e+03   1.0433000e+02   3.5980000e+01   2.5000000e+00
   1.9818219e+03   1.0553000e+02   3.5950000e+01   1.8000000e+00
   1.9818337e+03   1.0207000e+02   3.7950000e+01   2.2000000e+00
   1.9818374e+03   1.0208000e+02   3.8650000e+01   2.8000000e+00
   1.9818382e+03   1.0432000e+02   3.8120000e+01   3.1000000e+00
   1.9818422e+03   1.0592000e+02   3.6200000e+01   2.5000000e+00
   1.9818425e+03   1.0593000e+02   3.7300000e+01   2.6000000e+00
   1.9818447e+03   1.0520000e+02   3.5080000e+01   2.2000000e+00
   1.9818617e+03   1.0260000e+02   3.6420000e+01   2.4000000e+00
   1.9818650e+03   1.0617000e+02   3.5900000e+01   1.8000000e+00
   1.9818666e+03   1.0592000e+02   3.7300000e+01   3.4000000e+00
   1.9818666e+03   1.0657000e+02   3.7530000e+01   2.7000000e+00
   1.9818698e+03   1.0413000e+02   3.6620000e+01   2.0000000e+00
   1.9818718e+03   1.0308000e+02   3.7350000e+01   2.6000000e+00
   1.9818745e+03   1.0210000e+02   3.8680000e+01   2.2000000e+00
   1.9818787e+03   1.0213000e+02   3.6130000e+01   2.4000000e+00
   1.9818802e+03   1.0615000e+02   3.6150000e+01   2.1000000e+00
   1.9818802e+03   1.0618000e+02   3.6050000e+01   1.9000000e+00
   1.9818951e+03   1.0437000e+02   3.8480000e+01   3.0000000e+00
   1.9819103e+03   1.0507000e+02   3.5220000e+01   2.2000000e+00
   1.9819115e+03   1.0612000e+02   3.5850000e+01   1.6000000e+00
   1.9819121e+03   1.0235000e+02   3.7600000e+01   2.9000000e+00
   1.9819227e+03   1.0405000e+02   3.9400000e+01   2.9000000e+00
   1.9819360e+03   1.0310000e+02   3.9320000e+01   3.3000000e+00
   1.9819378e+03   1.0627000e+02   3.9900000e+01   3.8000000e+00
   1.9819395e+03   1.0382000e+02   3.7130000e+01   1.1000000e+00
   1.9819412e+03   1.0540000e+02   3.5530000e+01   1.9000000e+00
   1.9819420e+03   1.0612000e+02   3.5920000e+01   2.8000000e+00
   1.9819420e+03   1.0585000e+02   3.5830000e+01   1.8000000e+00
   1.9819444e+03   1.0568000e+02   3.6580000e+01   2.3000000e+00
   1.9819490e+03   1.0207000e+02   3.7570000e+01   3.2000000e+00
   1.9819574e+03   1.0613000e+02   3.6420000e+01   3.1000000e+00
   1.9819574e+03   1.0635000e+02   3.6570000e+01   2.4000000e+00
